# Datafile for example 11
# Grid of data for vortex diagram

# x  y  velocity_x  velocity_y
 -9.500  -9.500   0.274  -0.274
 -9.500  -8.500   0.272  -0.304
 -9.500  -7.500   0.266  -0.337
 -9.500  -6.500   0.255  -0.373
 -9.500  -5.500   0.237  -0.410
 -9.500  -4.500   0.212  -0.447
 -9.500  -3.500   0.178  -0.482
 -9.500  -2.500   0.135  -0.512
 -9.500  -1.500   0.084  -0.534
 -9.500  -0.500   0.029  -0.546
 -9.500   0.500  -0.029  -0.546
 -9.500   1.500  -0.084  -0.534
 -9.500   2.500  -0.135  -0.512
 -9.500   3.500  -0.178  -0.482
 -9.500   4.500  -0.212  -0.447
 -9.500   5.500  -0.237  -0.410
 -9.500   6.500  -0.255  -0.373
 -9.500   7.500  -0.266  -0.337
 -9.500   8.500  -0.272  -0.304
 -9.500   9.500  -0.274  -0.274
 -8.500  -9.500   0.304  -0.272
 -8.500  -8.500   0.306  -0.306
 -8.500  -7.500   0.304  -0.344
 -8.500  -6.500   0.295  -0.386
 -8.500  -5.500   0.279  -0.431
 -8.500  -4.500   0.253  -0.478
 -8.500  -3.500   0.215  -0.523
 -8.500  -2.500   0.166  -0.563
 -8.500  -1.500   0.105  -0.593
 -8.500  -0.500   0.036  -0.610
 -8.500   0.500  -0.036  -0.610
 -8.500   1.500  -0.105  -0.593
 -8.500   2.500  -0.166  -0.563
 -8.500   3.500  -0.215  -0.523
 -8.500   4.500  -0.253  -0.478
 -8.500   5.500  -0.279  -0.431
 -8.500   6.500  -0.295  -0.386
 -8.500   7.500  -0.304  -0.344
 -8.500   8.500  -0.306  -0.306
 -8.500   9.500  -0.304  -0.272
 -7.500  -9.500   0.337  -0.266
 -7.500  -8.500   0.344  -0.304
 -7.500  -7.500   0.347  -0.347
 -7.500  -6.500   0.343  -0.396
 -7.500  -5.500   0.331  -0.451
 -7.500  -4.500   0.306  -0.510
 -7.500  -3.500   0.266  -0.569
 -7.500  -2.500   0.208  -0.624
 -7.500  -1.500   0.133  -0.667
 -7.500  -0.500   0.046  -0.690
 -7.500   0.500  -0.046  -0.690
 -7.500   1.500  -0.133  -0.667
 -7.500   2.500  -0.208  -0.624
 -7.500   3.500  -0.266  -0.569
 -7.500   4.500  -0.306  -0.510
 -7.500   5.500  -0.331  -0.451
 -7.500   6.500  -0.343  -0.396
 -7.500   7.500  -0.347  -0.347
 -7.500   8.500  -0.344  -0.304
 -7.500   9.500  -0.337  -0.266
 -6.500  -9.500   0.373  -0.255
 -6.500  -8.500   0.386  -0.295
 -6.500  -7.500   0.396  -0.343
 -6.500  -6.500   0.400  -0.400
 -6.500  -5.500   0.394  -0.466
 -6.500  -4.500   0.374  -0.541
 -6.500  -3.500   0.334  -0.620
 -6.500  -2.500   0.268  -0.697
 -6.500  -1.500   0.175  -0.760
